Location	Site	Lat	Lon	Year	Plot	Trt	Nfert	TotalCover	WeedCover	TargetCover	TotalBiomass	WeedBiomass	TargetBiomass	Amorpha_canescens	Andropogon_gerardii	Asclepias_tuberosa	Astragalus_canadensis	Baptisia_australis	Bouteloua_curtipendula	Chamaecrista_fasciculata	Desmodium_canadense	Echinacea_pallida	Elymus_canadensis	Elymus_trachycaulum	Elymus_virginicus	Galium_boreale	Glycerryza_lepidota	Helianthus_maximilianii	Lathyrus_ochroleucus	Lespedeza_capitata	Liatris_aspera	Lupinus_perennis	Monarda_fistulosa	Panicum_virgatum	Petalostemum_candidum	Petalostemum_purpurea	Ratibida_pinnata	Rudbeckia_hirta	Schizachyrium_scoparium	Silphium_perfoliatum	Solidago_rigida	Sorghastrum_nutans	Vicia_americana	Zizia_aurea
1	B	45.387048	-93.88178	2006	4222	3	0	90	30	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA
1	B	45.387048	-93.88178	2006	4223	1	0	100	15	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4224	4	0	85	80	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4301	4	0	82	80	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4302	5	0	5	0	5	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4303	8	0	98	70	28	NA	NA	NA	0	0	NA	20	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	0	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2006	4304	12	1	100	60	40	NA	NA	NA	1	0	2	5	1	0	1	5	NA	0	0	0	NA	NA	10	NA	1	0	2	2	4	NA	1	5	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4305	9	1	100	25	75	NA	NA	NA	NA	0	10	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	30	NA	NA	NA	NA	NA	30	NA	NA	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4306	11	1	98	50	48	NA	NA	NA	1	0	5	5	1	NA	NA	NA	NA	0	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	15	NA	1	5	NA	NA	NA	0	0	NA	NA
1	B	45.387048	-93.88178	2006	4307	3	0	100	60	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	NA	NA
